Date,Daily Deposits,Daily Withdrawals,Loan Repayments,New Loans Issued,Interest Earned
2023-04-29,12045.5,37969.1,19791.66,2158.96,1429.35
2023-04-30,14807.02,27973.97,2990.92,11437.22,2286.75
2023-05-01,16254.73,16978.98,6200.73,9675.25,1082.29
2023-05-02,45154.52,10088.85,12236.37,3604.82,737.46
2023-05-03,29627.66,12371.6,17876.84,3476.52,2370.81
2023-05-04,42764.96,28749.67,14337.51,8912.0,2171.07
2023-05-05,26624.34,13711.76,15308.35,11087.48,2465.57
2023-05-06,40405.56,6599.45,18570.79,4572.74,4822.94
2023-05-07,26247.53,34635.3,18187.85,3835.04,504.19
2023-05-08,23297.79,39632.66,18866.13,8825.87,2961.59
2023-05-09,17840.47,19258.24,10535.52,866.46,1769.11
2023-05-10,37523.85,7226.8,14851.68,13350.42,380.47
2023-05-11,32192.0,31305.97,4416.61,2866.28,3378.53
2023-05-12,17399.94,36030.05,13896.48,3629.97,2995.77
2023-05-13,41738.9,38660.28,4583.43,946.52,968.03
2023-05-14,28201.86,19824.96,19304.23,14735.01,4210.9
2023-05-15,13301.72,18245.38,9695.26,13669.15,957.58
2023-05-16,16220.74,28663.78,18787.63,3575.89,887.8
2023-05-17,26280.36,8160.8,1974.86,12248.76,2236.23
2023-05-18,40147.12,14214.1,11843.23,9480.17,655.46
2023-05-19,14663.43,10173.41,17636.45,2966.84,2601.37
2023-05-20,39839.7,39603.62,16522.34,7921.44,186.54
2023-05-21,44494.45,34087.78,19997.7,13162.05,4760.84
2023-05-22,18187.72,22024.68,13101.93,5199.48,1496.25
2023-05-23,20942.17,7755.28,7639.94,8752.15,4890.32
2023-05-24,25846.73,25394.35,3649.97,11087.78,2676.22
2023-05-25,27395.11,32014.96,15581.62,10711.11,1566.12
2023-05-26,25771.76,24463.28,3803.77,14995.73,3633.21
2023-05-27,44084.88,36242.44,11074.04,13477.56,309.12
2023-05-28,28352.81,6897.73,17374.12,2136.94,2809.46
2023-05-29,31013.13,16182.33,10656.9,5814.38,1625.77
2023-05-30,43616.85,30771.45,6949.29,4065.36,163.07
2023-05-31,35499.97,7738.8,17690.24,9744.6,272.79
2023-06-01,38931.13,31523.66,6623.33,3604.43,3291.43
2023-06-02,46217.55,35633.2,18271.7,8531.11,2925.69
2023-06-03,43284.88,17171.73,14621.13,8345.75,2814.7
2023-06-04,46098.94,38585.77,10130.59,3177.28,3788.62
2023-06-05,22880.31,29900.02,14313.49,3182.15,3195.25
2023-06-06,32046.9,11869.92,17577.04,7203.08,3515.14
2023-06-07,33000.25,15184.18,10745.9,2423.28,804.56
2023-06-08,46630.67,30569.81,18271.34,14568.43,1235.62
2023-06-09,27589.08,24185.72,18128.73,3247.52,1286.62
2023-06-10,26563.36,8711.64,13892.39,7270.32,2134.35
2023-06-11,32739.94,18627.75,13775.59,3802.27,2654.35
2023-06-12,40497.81,19728.43,19871.64,3828.46,1308.16
2023-06-13,14219.95,27628.62,5716.54,7304.45,2275.12
2023-06-14,46685.28,19283.48,3500.49,3883.97,2183.33
2023-06-15,26498.34,17045.4,9072.93,11363.38,1014.16
2023-06-16,12298.13,9239.65,12268.64,10626.07,2404.74
2023-06-17,20233.47,16896.36,4381.76,2446.91,3425.07
2023-06-18,11999.41,24000.65,8116.76,4264.11,1399.17
2023-06-19,26747.88,33761.21,11927.51,2235.97,1185.13
2023-06-20,46189.47,33528.94,3958.86,12248.35,1910.07
2023-06-21,38836.52,39871.65,6483.48,9482.84,4609.45
2023-06-22,43740.53,36298.7,3509.68,1563.43,2658.59
2023-06-23,29061.72,23852.0,3997.63,9970.27,4688.05
2023-06-24,21109.31,38992.45,1710.19,10453.85,3737.75
2023-06-25,12876.47,5661.22,2239.16,13294.3,3198.02
2023-06-26,42047.03,27739.87,4614.22,11884.07,2792.68
2023-06-27,46105.03,9477.28,16345.61,537.11,205.15
2023-06-28,43650.39,21818.96,6629.05,10067.5,3370.49
2023-06-29,41613.39,39802.65,14026.31,8908.31,3620.74
2023-06-30,40222.43,12728.27,17408.85,10414.99,2207.04
2023-07-01,39403.91,19195.69,12536.63,13041.03,2997.12
2023-07-02,38560.98,16151.65,13575.7,6853.32,4978.44
2023-07-03,33018.24,30830.75,13621.18,8631.72,711.2
2023-07-04,21876.93,35023.8,2719.87,4606.76,4195.44
2023-07-05,26635.89,17234.45,5066.28,3345.22,4640.33
2023-07-06,13625.88,19822.44,10646.87,1539.67,4735.4
2023-07-07,19795.31,28072.1,6799.07,6851.81,3716.16
2023-07-08,38301.53,9253.65,7264.05,10693.59,4878.72
2023-07-09,16247.16,29277.25,11647.2,9557.89,2244.39
2023-07-10,40928.42,7008.78,8183.05,4362.62,772.74
2023-07-11,28753.34,28021.96,14379.23,4778.54,2008.94
2023-07-12,24393.31,8360.91,8756.74,3145.12,4352.66
2023-07-13,47457.05,31267.19,2414.86,1010.83,1130.67
2023-07-14,29612.79,27776.74,19350.17,14836.34,1920.85
2023-07-15,45139.95,39592.48,10005.13,3146.47,4732.57
2023-07-16,12948.63,34531.4,4638.98,3196.18,463.78
2023-07-17,32386.32,18124.33,1057.14,12409.11,1761.29
2023-07-18,47119.32,8873.59,14137.62,700.12,3355.4
2023-07-19,30414.71,33454.66,3530.52,3283.04,1529.98
2023-07-20,38697.86,32764.29,5743.84,1220.54,4900.29
2023-07-21,47302.97,24513.76,2148.99,9028.4,3327.6
2023-07-22,37145.34,39778.34,8316.76,1730.72,4761.97
2023-07-23,28920.63,35555.92,12402.0,7926.96,2569.65
2023-07-24,37093.93,24610.09,19893.98,8567.83,599.7
2023-07-25,45765.99,25927.61,13131.79,4727.93,727.57
2023-07-26,19133.58,5516.09,15866.17,4780.0,4794.45
2023-07-27,47703.24,20882.43,10062.67,4171.85,3469.88
2023-07-28,24129.56,25563.24,19543.47,6515.9,4966.66
2023-07-29,34913.46,38783.29,3071.11,7444.32,2316.68
2023-07-30,41428.45,14740.67,17149.03,5819.48,747.23
2023-07-31,13979.37,8182.86,12366.44,11573.46,420.11
2023-08-01,16781.27,26920.95,7283.8,8119.78,1149.01
2023-08-02,27460.4,31530.48,8017.72,4122.62,4684.53
2023-08-03,37944.75,7782.35,6922.16,11304.1,3862.18
2023-08-04,31048.0,30125.0,5519.8,4013.07,1755.91
2023-08-05,23253.51,10434.92,6578.38,12501.61,3780.17
2023-08-06,39320.46,28473.67,8496.63,13178.66,4092.94
2023-08-07,36080.39,32966.46,12592.05,12514.03,599.94
2023-08-08,12009.75,24708.93,2734.0,7942.97,893.28
2023-08-09,11124.46,20576.24,14473.3,7501.7,4125.35
2023-08-10,26203.45,19355.98,11875.66,14101.57,2561.28
2023-08-11,30493.85,27990.61,17723.11,2052.04,3455.7
2023-08-12,16997.6,16849.95,4291.13,4253.24,1561.05
2023-08-13,43830.9,23782.49,6718.64,8377.55,487.64
2023-08-14,18594.14,38333.79,8859.44,589.42,4642.61
2023-08-15,10922.51,5100.99,12911.17,6842.52,1630.69
2023-08-16,48004.99,24154.19,1387.32,4377.14,2207.85
2023-08-17,39286.84,18045.3,6483.51,14698.38,989.84
2023-08-18,28374.05,6057.67,9201.83,2299.98,936.6
2023-08-19,10471.3,35445.65,12545.22,8783.78,2062.79
2023-08-20,22526.52,11789.2,12247.23,12511.71,1251.04
2023-08-21,18461.78,14322.8,6142.05,10158.58,3574.06
2023-08-22,29251.71,7166.48,10350.69,1333.08,3297.12
2023-08-23,25480.78,20607.88,13452.03,11329.68,1246.09
2023-08-24,10308.19,16066.82,13351.24,1648.44,4877.42
2023-08-25,42821.62,14960.66,9487.79,1749.78,2033.16
2023-08-26,29772.06,25722.56,7421.72,10181.62,1770.4
2023-08-27,18641.86,28436.01,15268.66,6891.37,951.48
2023-08-28,45346.43,9746.8,17653.77,8164.91,2442.19
2023-08-29,32999.33,39698.12,9139.12,7611.94,3144.64
2023-08-30,25940.68,5748.99,2688.52,13022.26,1036.94
2023-08-31,45868.33,21319.43,1028.81,12012.96,1779.15
2023-09-01,34764.89,20186.64,14461.58,12210.7,2518.52
2023-09-02,40757.66,31852.94,4349.95,2699.33,670.46
2023-09-03,28359.92,5957.8,19312.44,4336.75,1841.9
2023-09-04,13023.34,20623.76,1147.12,11693.87,613.32
2023-09-05,28294.08,24986.74,2129.68,1381.04,2267.56
2023-09-06,20896.7,7560.9,1811.72,9094.12,2686.69
2023-09-07,44096.97,28229.87,16198.04,10280.67,452.96
2023-09-08,45593.87,32625.77,9596.9,12334.14,2236.45
2023-09-09,14804.94,26031.36,6671.06,9233.57,2929.8
2023-09-10,15346.34,25205.36,14838.63,694.95,4558.92
2023-09-11,33517.86,32595.31,14155.82,1451.33,3644.45
2023-09-12,36919.88,27050.44,12024.86,7139.77,363.05
2023-09-13,25717.18,13388.45,12083.79,13002.23,3201.55
2023-09-14,28721.4,28930.74,6177.08,14743.19,243.48
2023-09-15,37704.43,38990.37,15515.68,7373.84,269.6
2023-09-16,42562.63,39945.32,19629.13,12001.37,3869.55
2023-09-17,14641.17,8681.37,6364.73,6467.31,3250.15
2023-09-18,18040.78,5221.01,12210.22,1401.84,1521.4
2023-09-19,49052.76,8419.53,15165.33,658.61,1865.05
2023-09-20,11224.79,11634.99,10053.13,11815.43,4170.0
2023-09-21,38342.96,5114.07,18385.64,6505.46,4783.71
2023-09-22,48688.13,12973.55,12174.62,820.4,4550.9
2023-09-23,47860.48,13695.6,15979.57,11790.11,4332.56
2023-09-24,33912.59,37444.89,17053.92,6496.32,3293.74
2023-09-25,21592.07,26353.56,7440.23,14470.69,1565.17
2023-09-26,13068.6,8718.85,15360.12,6388.05,1548.3
2023-09-27,41027.88,33330.54,17616.48,14551.5,1454.57
2023-09-28,38463.01,12864.57,13963.72,12634.28,4797.36
2023-09-29,30938.63,17194.66,9348.11,14219.19,1625.89
2023-09-30,18111.79,19954.51,18732.75,6405.88,1606.64
2023-10-01,33401.17,14331.39,15657.86,10601.2,2222.92
2023-10-02,26428.12,29538.66,2655.02,1731.06,3546.17
2023-10-03,39108.27,34254.59,9506.43,6503.23,906.14
2023-10-04,28591.52,30453.19,16900.74,3350.96,2724.49
2023-10-05,19127.49,10322.17,3081.93,13673.61,1155.31
2023-10-06,38964.84,38050.74,17938.01,3637.14,1549.32
2023-10-07,29966.99,11586.62,11919.25,12760.4,1513.89
2023-10-08,44833.9,23068.27,11866.12,815.28,1814.54
2023-10-09,36747.13,11322.05,9625.02,3675.56,655.76
2023-10-10,39957.34,23285.4,1877.95,4574.2,1065.42
2023-10-11,15726.38,23764.69,18621.04,5797.37,2084.72
2023-10-12,40444.75,10818.2,13593.78,6424.99,672.23
2023-10-13,22042.29,15635.22,4423.24,7460.7,3168.95
2023-10-14,34754.38,28976.22,3634.7,11996.98,1809.43
2023-10-15,30138.08,35049.21,7111.49,11279.96,3064.32
2023-10-16,28800.41,30894.66,4888.09,5544.06,2640.45
2023-10-17,35852.85,23750.42,14862.37,8378.68,153.39
2023-10-18,26483.36,29020.84,18956.56,11041.88,490.22
2023-10-19,21808.31,34744.49,14964.77,5624.88,2289.44
2023-10-20,49527.12,17731.8,11588.94,5084.03,2335.42
2023-10-21,13291.3,19966.11,12606.9,7570.14,721.11
2023-10-22,36742.99,39424.31,10417.3,13304.58,440.1
2023-10-23,41735.58,24934.14,10528.28,7392.53,2782.06
2023-10-24,20800.0,31131.85,5947.32,7098.86,3434.44
2023-10-25,28788.79,8551.04,5832.97,11923.84,2255.38
2023-10-26,26159.84,29712.3,11820.39,10414.2,343.49
2023-10-27,28499.61,10528.09,12271.38,13233.64,368.13
2023-10-28,19937.52,35560.07,19338.12,8648.09,1175.15
2023-10-29,14039.88,5465.9,7537.74,4861.34,4418.31
2023-10-30,43570.72,25657.88,9086.22,1974.65,2594.34
2023-10-31,40019.43,13112.19,18670.02,7930.07,2991.43
2023-11-01,46329.56,19748.85,7630.56,5699.39,1151.01
2023-11-02,34874.8,36529.32,8544.83,10142.49,2159.61
2023-11-03,11594.02,13658.93,17799.43,6288.72,4097.78
2023-11-04,16622.81,14557.21,11543.91,6610.04,818.85
2023-11-05,14943.62,14129.28,18495.23,3511.35,1739.97
2023-11-06,42475.44,11197.74,9800.02,4463.1,4763.29
2023-11-07,34653.76,25932.97,3165.8,10733.39,4812.3
2023-11-08,47257.12,10919.97,2417.58,6706.02,3029.29
2023-11-09,33381.54,33757.8,14025.84,7020.99,2398.85
2023-11-10,49941.0,36637.99,6757.82,4341.7,1985.65
2023-11-11,45533.41,16779.7,16717.66,11833.56,4645.12
2023-11-12,17884.64,16090.68,11493.7,6729.68,2702.53
2023-11-13,48180.58,6571.61,8180.64,10713.96,4136.38
2023-11-14,21439.52,19823.8,9199.8,4590.26,1589.06
2023-11-15,36821.1,18661.35,3416.9,1262.17,3236.81
2023-11-16,37528.5,24403.96,15801.74,12638.39,2758.0
2023-11-17,30300.64,20234.18,5045.73,6547.77,1192.27
2023-11-18,39258.35,34833.7,5669.54,672.16,2203.53
2023-11-19,18468.71,32173.56,18115.69,9685.46,877.49
2023-11-20,32690.51,37130.11,1751.5,13979.04,253.65
2023-11-21,36922.74,23381.74,8771.16,1536.6,4131.15
2023-11-22,25180.05,34180.16,2660.42,7807.8,1899.39
2023-11-23,12320.86,17472.2,13115.08,10292.26,3880.47
2023-11-24,46569.27,24395.4,8076.93,12452.95,2648.76
2023-11-25,15104.57,38903.01,4415.99,9975.38,1537.09
2023-11-26,34454.44,13565.87,16496.6,1631.01,276.2
2023-11-27,16653.62,26461.02,12691.85,12090.5,3217.36
2023-11-28,30655.8,20472.78,3246.17,9502.41,1206.42
2023-11-29,20908.25,18410.89,3951.56,4476.41,3144.45
2023-11-30,45125.19,32002.73,12369.94,10741.81,2371.29
2023-12-01,20249.03,23775.78,18190.74,9085.51,3066.06
2023-12-02,23264.16,39813.97,2536.25,6960.2,3264.68
2023-12-03,35013.82,37327.13,9990.75,2206.95,1064.63
2023-12-04,22567.13,27074.31,18408.84,10440.58,3573.43
2023-12-05,16148.39,39897.36,11388.33,9901.85,3337.43
2023-12-06,11438.51,32279.08,4084.04,10036.27,4114.16
2023-12-07,26866.04,23486.36,9805.49,14899.45,4104.61
2023-12-08,31649.14,31642.89,9507.08,10311.79,3298.06
2023-12-09,40128.41,11021.89,7251.51,4818.33,2401.83
2023-12-10,36478.2,24267.68,10040.45,903.55,2100.32
2023-12-11,26716.26,8857.09,6819.81,10761.81,837.71
2023-12-12,10728.14,6387.21,13692.8,5908.67,2362.21
2023-12-13,43248.03,7626.43,15033.71,5897.69,3598.4
2023-12-14,30860.08,21239.25,16192.34,9778.65,4566.54
2023-12-15,49829.21,18878.86,3175.59,812.87,2330.25
2023-12-16,42487.45,14826.98,18151.34,12760.72,120.5
2023-12-17,41295.07,12126.07,2855.03,9255.71,1420.43
2023-12-18,42274.45,7916.15,8485.29,5357.75,3565.93
2023-12-19,40284.18,35766.16,14344.61,11928.43,4656.71
2023-12-20,43916.95,30394.19,6913.25,5285.63,3174.23
2023-12-21,28595.38,35010.91,14289.87,1239.89,402.36
2023-12-22,41201.53,35422.55,7246.26,13467.15,3489.49
2023-12-23,29999.03,38682.87,16233.43,12839.88,399.28
2023-12-24,28717.14,37084.39,1793.57,14852.37,3505.57
2023-12-25,32365.53,24011.21,9227.13,1000.23,4978.04
2023-12-26,14212.31,28263.03,11663.65,7857.01,923.11
2023-12-27,18485.89,23467.17,12537.09,13658.5,2978.85
2023-12-28,32220.15,21714.5,10938.97,9862.36,2956.76
2023-12-29,29534.34,15619.51,18985.66,1878.85,3163.23
2023-12-30,17522.73,6473.92,8031.99,1189.72,120.61
2023-12-31,45904.04,12487.7,9104.9,3139.98,212.41
